file_url,platform_link,Handelsadato,ISIN,Verdipapirnavn,Antall,Kurs,Handelsbeløp,Kilder
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-49.jpeg?expires=1696629224&or=0&s=0093dbfcc943ee58bd410dbadec8b1ef,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61a1-6469-11ee-8241-129b4cad2a96,16.12.2020,NO0003108102,ARRIBATEC GROUP,10000,"2,10",21000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-49.jpeg?expires=1696629224&or=0&s=0093dbfcc943ee58bd410dbadec8b1ef,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b61a1-6469-11ee-8241-129b4cad2a96,16.12.2020,NO0003108102,ARRIBATEC GROUP,10000,"2,07",20700,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-147.jpeg?expires=1696629224&or=0&s=52e9e2d438e78d280b50997b8ee7f37f,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b65f7-6469-11ee-82a3-129b4cad2a96,16.12.2020,NO0010791999,BEAR DAX X5 NORDNETX,5000,"4,86",24300,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-199.jpeg?expires=1696629224&or=0&s=455cb0e2cca914ad29a1fdc59502569f,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6701-6469-11ee-82d7-129b4cad2a96,16.12.2020,NO0010884216,BEAR NEL X3 NORDNET N,2000,"8,85",17695,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-151.jpeg?expires=1696629224&or=0&s=7ebda9ad727ef265768879006856282c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b660e-6469-11ee-82a7-129b4cad2a96,16.12.2020,NO0010792260,BEAR OBX X5 NORDNET,10000,"3,26",32600,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-157.jpeg?expires=1696629224&or=0&s=045d0767cfa07d0080173f57bb00ba8a,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b662a-6469-11ee-82ad-129b4cad2a96,16.12.2020,NO0010794589,BEAR SP500 X5 NORDNETX,10000,"1,30",13000,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-157.jpeg?expires=1696629224&or=0&s=045d0767cfa07d0080173f57bb00ba8a,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b662a-6469-11ee-82ad-129b4cad2a96,16.12.2020,NO0010794589,BEAR SP500 X5 NORDNETX,9000,"1,29",11610,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"38,52",−7704,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"38,32",−7664,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,16.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"38,10",−7620,Nordnet
